time_s,T_degC,C_kg_kg
0,28,0.019630000000000002
60,28.527999999999999,0.02002
120,29.192,0.02053
180,29.684000000000001,0.021000000000000001
240,30.036999999999999,0.021510000000000001
300,30.834,0.021909999999999999
360,31.292999999999999,0.022329999999999999
420,31.82,0.022780000000000002
480,32.121000000000002,0.02325
540,32.729999999999997,0.023769999999999999
600,33.201999999999998,0.024279999999999999
660,33.878999999999998,0.024649999999999998
720,34.268000000000001,0.025059999999999999
780,34.805999999999997,0.025520000000000001
840,35.142000000000003,0.026120000000000001
900,35.524000000000001,0.026599999999999999
960,36.091000000000001,0.026870000000000002
1020,36.353999999999999,0.027320000000000001
1080,37.067,0.02793
1140,37.418999999999997,0.02826
1200,37.881999999999998,0.028910000000000002
1260,38.134,0.02921
1320,38.767000000000003,0.029610000000000001
1380,39.125,0.030290000000000001
1440,39.457999999999998,0.030509999999999999
1500,39.594999999999999,0.030980000000000001
1560,40.061,0.031370000000000002
1620,40.238,0.031789999999999999
1680,40.621000000000002,0.032190000000000003
1740,41.165999999999997,0.032620000000000003
1800,41.512999999999998,0.033070000000000002
1860,41.917999999999999,0.033450000000000001
1920,41.951999999999998,0.034029999999999998
1980,42.262999999999998,0.034470000000000001
2040,42.588999999999999,0.034759999999999999
2100,42.744999999999997,0.035130000000000002
2160,42.984999999999999,0.035580000000000001
2220,43.393000000000001,0.036089999999999997
2280,43.533999999999999,0.036459999999999999
2340,43.969999999999999,0.03653
2400,44.101999999999997,0.036940000000000001
2460,44.503,0.037310000000000003
2520,44.662999999999997,0.037659999999999999
2580,44.701000000000001,0.038120000000000001
2640,45.137999999999998,0.038399999999999997
2700,45.323,0.038580000000000003
2760,45.323999999999998,0.039030000000000002
2820,45.462000000000003,0.039399999999999998
2880,45.817999999999998,0.039539999999999999
2940,45.738999999999997,0.040129999999999999
3000,45.93,0.04011
3060,45.999000000000002,0.040759999999999998
3120,46.512,0.0407
3180,46.601999999999997,0.041279999999999997
3240,46.761000000000003,0.041570000000000003
3300,46.933,0.041869999999999997
3360,46.911999999999999,0.042049999999999997
3420,47.088999999999999,0.042290000000000001
3480,47.008000000000003,0.042470000000000001
3540,47.110999999999997,0.042770000000000002
3600,47.484999999999999,0.042720000000000001
3660,47.497999999999998,0.043119999999999999
3720,47.646000000000001,0.04333
3780,47.840000000000003,0.04369
3840,47.872999999999998,0.043729999999999998
3900,47.926000000000002,0.043889999999999998
3960,48.015999999999998,0.044200000000000003
4020,47.976999999999997,0.044220000000000002
4080,47.926000000000002,0.044350000000000001
4140,48.198999999999998,0.044679999999999997
4200,48.165999999999997,0.044830000000000002
4260,48.331000000000003,0.044909999999999999
4320,48.615000000000002,0.04514
4380,48.380000000000003,0.0453
4440,48.356999999999999,0.045429999999999998
4500,48.526000000000003,0.045609999999999998
4560,48.590000000000003,0.04589
4620,48.825000000000003,0.045850000000000002
4680,48.826999999999998,0.046289999999999998
4740,48.988,0.04641
4800,48.978999999999999,0.046330000000000003
